# This file contains the stocks currently held in your active portfolio.
Instrument,Qty.,Avg. cost
ABB,11,7304.0
ADANIENSOL,190,1591.67
AKUMS,43,689.75
AMBER,26,8459.96
APS-SM,250,542.4
ASTRAMICRO,1,1460.4
ATHERENERG,7,1147.0
AWHCL,352,724.78
AXISCADES,2,1948.0
BBOX,125,1055.41
BIRLACORPN,143,1062.3
CGCL,11,236.02
CHOLAFIN,50,1854.0
CUMMINSIND,78,5352.44
DEEPINDS,91,531.04
ELIN,1633,245.16
ELLEN,233,588.28
ENRIN,58,3693.88
FINCABLES,173,1145.32
FIVESTAR,491,614.74
FORCEMOT,5,17805.0
GESHIP,100,1678.89
GOLDBEES,2209,131.45
GPECO-ST,800,558.58
GRSE,2,2713.0
HAL,43,5044.92
HINDCOPPER,1000,568.4
HINDZINC,206,658.01
JAYANT,750,152.1
JSWINFRA,455,275.1
LTFOODS,609,483.91
MCX,315,2159.56
MTARTECH-BE,5,6800.0
NAUKRI,32,1202.4
PATILAUTOM-ST,600,222.0
POCL,459,1367.17
POWERINDIA,4,36255.0
PREMEXPLN,378,774.14
PWL,695,146.69
QPOWER-BE,114,1296.83
RBMINFRA-SM,400,799.45
RRKABEL,174,2265.03
SANGHVIMOV,766,659.27
SCHNEIDER,3100,261.74
SKIPPER,371,567.87
SKYGOLD,128,621.87
SOTL,25,609.5
SPORTKING,868,181.1
STALLION,292,209.61
STOVEKRAFT,360,949.83
SUVEN,503,319.18
SWELECTES,235,1206.68
TEJASNET,401,585.72
TEXRAIL,1037,113.16
THERMAX,147,4195.81
TIGERLOGS-BE,11740,56.14
TORNTPOWER,99,1733.97
VILAS-SM,250,574.5
VPRPL-BE,850,303.8
WOCKPHARMA,50,2029.63
ANANDRATHI,32,2077.57
