Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol,Days
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],96671.11,-3328.89,-3.33,2,1,1,50.0,6.85,44.0,0.0,ADANIENSOL,114
Keltner 5-Rule Retracement,96227.63,-3772.37,-3.77,1,0,1,0.0,6.85,74.0,0.0,ADANIENSOL,114
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ADANIENSOL,114
Keltner Breakout (ATR 1.5),101305.44,1305.44,1.31,2,2,0,100.0,6.89,44.0,0.0,ADANIENSOL,114
Bollinger RSI,100276.71,276.71,0.28,1,0,0,0.0,4.86,9.0,0.0,ADANIENSOL,114
Squeeze Breakout,100460.86,460.86,0.46,1,1,0,100.0,4.65,44.0,0.0,ADANIENSOL,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],99229.52,-770.48,-0.77,1,0,1,0.0,3.04,67.0,0.0,ADANIPORTS,114
Keltner 5-Rule Retracement,99229.52,-770.48,-0.77,1,0,1,0.0,3.04,67.0,0.0,ADANIPORTS,114
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ADANIPORTS,114
Keltner Breakout (ATR 1.5),95461.32,-4538.68,-4.54,4,1,2,25.0,9.75,67.0,0.0,ADANIPORTS,114
Bollinger RSI,107514.25,7514.25,7.51,1,0,0,0.0,3.72,16.0,0.0,ADANIPORTS,114
Squeeze Breakout,102624.59,2624.59,2.62,2,1,1,50.0,4.35,28.0,0.0,ADANIPORTS,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],92887.58,-7112.42,-7.11,1,0,1,0.0,8.92,82.0,0.0,ADANIPOWER,114
Keltner 5-Rule Retracement,92887.58,-7112.42,-7.11,1,0,1,0.0,8.92,82.0,0.0,ADANIPOWER,114
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ADANIPOWER,114
Keltner Breakout (ATR 1.5),97987.48,-2012.52,-2.01,1,0,1,0.0,8.87,82.0,0.0,ADANIPOWER,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ADANIPOWER,114
Squeeze Breakout,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ADANIPOWER,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,AMBER,114
Keltner 5-Rule Retracement,97922.51,-2077.49,-2.08,1,0,1,0.0,2.29,63.0,0.0,AMBER,114
Keltner + EMA Cross,93776.32,-6223.68,-6.22,1,0,1,0.0,6.45,18.0,0.0,AMBER,114
Keltner Breakout (ATR 1.5),96050.04,-3949.96,-3.95,1,0,1,0.0,4.23,18.0,0.0,AMBER,114
Bollinger RSI,101932.42,1932.42,1.93,1,0,0,0.0,1.61,2.0,0.0,AMBER,114
